Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n168,7,0.0078,1.000000,124723.32,9747.058528,39891.702276,19924.206191,55160.355669
n169,7,0.0078,1.000000,101490.49,9197.710039,41307.682230,12600.612868,38384.482910
n170,7,0.0078,1.000000,117903.47,14858.220029,62286.057906,16871.224972,23887.969408
n171,7,0.0078,1.000000,124329.85,75532.180446,13957.363416,12752.660782,22087.642989
n172,7,0.0078,1.000000,124639.26,77663.552134,8302.912443,12472.727221,26200.064672
n173,7,0.0078,1.000000,126701.73,4737.677295,21648.245648,28927.142296,71388.667889
n174,7,0.0078,1.000000,115636.74,12776.230854,7539.316312,31892.130303,63429.057590
n175,7,0.0078,1.000000,128336.19,13064.213634,60963.538037,19365.113190,34943.322233
n176,7,0.0078,1.000000,127724.42,8525.282801,47202.438034,24672.308853,47324.392422
n177,7,0.0078,1.000000,118297.59,15954.202463,21977.812672,30288.178046,50077.394339
n178,7,0.0078,1.000000,123585.42,8109.902777,47972.682912,13419.827705,54083.010077
n179,7,0.0078,1.000000,120503.59,10354.309830,10581.864901,29535.399986,70032.017354
n180,7,0.0078,1.000000,113056.32,39103.870990,25054.934663,24734.739461,24162.772888
n181,7,0.0078,1.000000,122368.91,16323.893933,7396.939630,41497.878320,57150.202328
n182,7,0.0078,1.000000,122096.30,62260.254207,9826.001055,25058.428359,24951.612818
n183,7,0.0078,1.000000,126738.89,10403.056744,14476.919175,35909.508644,65949.404037
n184,7,0.0078,1.000000,126729.81,8787.626963,65871.279299,14042.469625,38028.430625
n185,7,0.0078,1.000000,125231.52,15008.523398,38417.682466,43651.649147,28153.662336
n186,7,0.0078,1.000000,132580.65,25529.545944,9610.271806,18310.923977,79129.907921
n187,7,0.0078,1.000000,116255.86,15883.252695,24135.208893,30197.613562,46039.781437
n188,7,0.0078,1.000000,119799.41,21686.764054,12308.972129,28182.805170,57620.872944
n189,7,0.0078,1.000000,147101.06,5229.810925,12658.745894,64210.841986,65001.656255
n190,7,0.0078,1.000000,151788.25,55134.386140,5974.659482,57306.628663,33372.576381
n191,7,0.0078,1.000000,121320.07,28372.884065,17121.949085,34570.817612,41254.418372
n192,7,0.0078,1.000000,122321.57,6390.470309,7200.821305,57467.840713,51262.432981
n193,7,0.0078,1.000000,125452.15,6375.015176,8177.938331,65970.823193,44928.376890
n194,7,0.0078,1.000000,125172.65,6197.457902,21960.773799,61821.296469,35193.122201
n195,7,0.0078,1.000000,106115.60,21159.969104,47110.530318,16268.045913,21577.050681
n196,7,0.0078,1.000000,108727.63,25412.753471,24509.345408,14883.695248,43921.836335
n197,7,0.0078,1.000000,109208.36,6443.406942,9200.773262,44241.099657,49323.076192
n198,7,0.0078,1.000000,107770.45,12903.532475,13723.149456,31886.470136,49257.301482
n199,7,0.0078,1.000000,132102.29,5272.546499,30840.813838,18066.850808,77922.076893
