Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n185,7,0.0078,1.000000,105345.95,16809.270499,30519.983332,33307.772276,24708.921952
n186,7,0.0078,1.000000,112450.87,24739.274795,12067.928981,19502.814627,56140.853560
n187,7,0.0078,1.000000,96611.03,17036.079610,20989.511579,25539.590349,33045.850793
n188,7,0.0078,1.000000,99272.31,19361.115987,15290.428741,24520.662822,40100.100372
n189,7,0.0078,1.000000,124284.29,7391.821711,15883.677996,50262.540955,50746.250968
n190,7,0.0078,1.000000,129526.27,44186.085389,8352.369329,45848.877653,31138.937913
n191,7,0.0078,1.000000,103330.57,24844.134143,17915.171471,28411.781678,32159.485605
n192,7,0.0078,1.000000,104360.74,9268.232372,10257.396129,44352.029552,40483.078012
n193,7,0.0078,1.000000,106882.52,9171.308630,11288.500969,49615.916576,36806.791137
n194,7,0.0078,1.000000,107173.10,8796.521487,22262.615140,45598.757851,30515.201133
n195,7,0.0078,1.000000,85739.01,17764.857473,28829.599145,18112.314355,21032.242555
n196,7,0.0078,1.000000,85392.04,20759.171831,20661.058902,16125.005690,27846.801678
n197,7,0.0078,1.000000,87272.74,10401.197229,13394.386735,30546.430151,32930.727239
n198,7,0.0078,1.000000,84722.63,15494.135716,15775.306203,23780.626105,29672.562207
n199,7,0.0078,1.000000,116428.75,7018.401535,28935.853579,19732.398520,60742.093472
n200,7,0.0078,1.000000,107889.30,11825.408609,9008.228249,55543.559560,31512.098912
n201,7,0.0078,1.000000,118784.10,14046.801632,61202.732633,23762.773878,19771.790898
n202,7,0.0078,1.000000,105863.28,14107.581263,12472.169112,30080.946571,49202.578092
n203,7,0.0078,1.000000,116852.33,5038.646459,12864.099277,64845.940801,34103.640870
n204,7,0.0078,1.000000,102115.08,13365.205152,41810.443702,15649.094930,31290.334770
n205,7,0.0078,1.000000,111059.60,18477.717923,12937.983376,25120.471042,54523.432102
n206,7,0.0078,1.000000,97778.80,17561.000013,14435.465260,28826.346649,36955.988201
n207,7,0.0078,1.000000,122845.58,10082.954799,7033.856918,36048.327582,69680.437543
n208,7,0.0078,1.000000,125283.75,4890.868029,47717.387832,13646.890540,59028.599830
n209,7,0.0078,1.000000,109227.31,26167.597047,40966.528411,24138.882308,17954.305573
n210,7,0.0078,1.000000,109733.85,18117.852467,35874.747173,20719.453554,35021.798317
n211,7,0.0078,1.000000,107427.18,32068.356382,14197.977731,39064.984382,22095.860849
n212,7,0.0078,1.000000,115102.50,7563.450949,12412.758878,37479.816433,57646.476012
n213,7,0.0078,1.000000,119126.99,12834.281049,10743.460445,31589.137199,63960.107073
n214,7,0.0078,1.000000,114406.89,8941.395718,17281.618775,29813.724725,58370.152179
n215,7,0.0078,1.000000,106122.16,10530.183189,13711.516855,27459.760239,54420.702847
n216,7,0.0078,1.000000,93981.08,36597.026944,15232.458096,18469.173127,23682.421888
n217,7,0.0078,1.000000,100203.46,11054.207088,32133.329775,30833.852772,26182.068140
n218,7,0.0078,1.000000,103022.21,10449.103804,24820.975165,33071.011126,34681.118928
n219,7,0.0078,1.000000,109181.36,9136.163538,11564.454162,29503.645164,58977.093433
n220,7,0.0078,1.000000,103634.74,12186.051061,9384.505713,43068.404057,38995.776621
n221,7,0.0078,1.000000,103270.83,7476.305282,13080.473599,46423.629803,36290.425010
n222,7,0.0078,1.000000,111426.49,37604.906591,12225.837883,23546.148009,38049.595071
n223,7,0.0078,1.000000,102602.33,18606.561928,28086.709132,17001.576667,38907.484352
n224,7,0.0078,1.000000,103147.78,7825.404345,10868.838475,37984.031759,46469.501228
n225,7,0.0078,1.000000,101871.06,8214.498885,9906.912408,37610.738218,46138.905761
n226,7,0.0078,1.000000,101225.33,15336.447931,21002.029108,25810.773235,39076.080364
n227,7,0.0078,1.000000,93444.88,14857.782163,13842.739273,35965.410796,28778.949958
n228,7,0.0078,1.000000,92274.07,9078.179416,10772.487629,32078.915141,40344.492024
n229,7,0.0078,1.000000,94657.54,21633.566339,16960.550356,25722.050824,30341.370367
n230,7,0.0078,1.000000,98241.75,8082.606829,12255.871602,37166.808245,40736.458835
n231,7,0.0078,1.000000,90484.21,10374.319957,29981.862608,16067.984735,34060.047531
n232,7,0.0078,1.000000,86355.81,16269.700654,17882.940547,26344.503371,25858.663574
n233,7,0.0078,1.000000,87881.82,13153.297761,13425.943818,32713.885222,28588.693799
n234,7,0.0078,1.000000,81075.41,24790.046324,14542.960392,20722.125500,21020.273411
n235,7,0.0078,1.000000,92283.21,21947.454516,20742.219862,27253.415296,22340.123817
n236,7,0.0078,1.000000,82202.20,21449.033290,18188.748607,23113.170134,19451.251943
n237,7,0.0078,1.000000,90204.65,28777.665847,16605.266607,19467.519039,25354.198296
n238,7,0.0078,1.000000,88424.08,11571.893587,25831.537796,30557.626565,20463.019788
n239,7,0.0078,1.000000,93909.92,16347.140462,15404.382479,25099.939305,37058.458177
n240,7,0.0078,1.000000,89624.26,17719.797384,11926.822181,24354.844678,35622.794474
n241,7,0.0078,1.000000,84200.81,25147.693872,14356.958320,22326.700411,22369.456863
n242,7,0.0078,1.000000,80003.32,16706.113293,13964.318267,22624.398538,26708.488552
n243,7,0.0078,1.000000,88342.63,29805.270766,13030.281047,18984.782387,26522.299639
n244,7,0.0078,1.000000,80400.14,10431.163497,12815.419440,27569.108913,29584.444521
n245,7,0.0078,1.000000,84184.16,18575.086772,27329.879935,15341.201445,22937.993546
n246,7,0.0078,1.000000,72228.35,17178.352571,18358.706747,18760.620436,17930.669681
n247,7,0.0078,1.000000,95713.90,29300.292573,19358.606714,23023.273700,24031.728317
n248,7,0.0078,1.000000,95077.03,12701.719004,26217.552979,24394.155479,31763.598226
n249,7,0.0078,1.000000,97256.23,24332.577286,31185.602625,21314.293671,20423.754855
n250,7,0.0078,1.000000,87083.71,21343.186612,24613.952575,21026.790008,20099.778313
n251,7,0.0078,1.000000,104420.81,7354.766393,5946.011651,26200.343924,64919.687436
n252,7,0.0078,1.000000,98335.93,38968.519695,19871.034891,19609.495271,19886.876465
n253,7,0.0078,1.000000,95628.56,18015.957989,17645.889472,26295.099456,33671.610520
n254,7,0.0078,1.000000,98254.33,12283.367198,21295.842549,28620.419060,36054.703612
n255,8,0.0039,1.000000,96142.29,21376.334593,24928.169327,22674.623014,27163.158159
n256,8,0.0039,1.000000,96703.27,16766.075651,27241.433317,29376.607367,23319.152689
n257,8,0.0039,1.000000,93205.78,16188.269181,20597.164576,30385.214693,26035.134974
n258,8,0.0039,1.000000,84801.48,16240.188293,19930.861123,24301.593439,24328.838189
n259,8,0.0039,1.000000,98979.18,21317.293327,19815.194889,29324.744439,28521.949741
n260,8,0.0039,1.000000,104793.96,13835.917980,13377.150178,38237.903461,39342.987502
n261,8,0.0039,1.000000,104944.66,18364.608466,15800.552405,30756.327440,40023.175094
n262,8,0.0039,1.000000,103919.24,12775.513161,17573.173343,27839.864084,45730.688643
n263,8,0.0039,1.000000,94229.77,26114.607160,20224.682565,22028.673375,25861.807130
n264,8,0.0039,1.000000,95502.27,22227.909840,17505.867456,26181.148362,29587.346480
n265,8,0.0039,1.000000,97649.66,21476.285150,16980.848277,26355.791792,32836.734774
n266,8,0.0039,1.000000,94231.90,23984.818357,19382.787113,25746.061261,25118.237151
n267,8,0.0039,1.000000,98018.60,25835.328845,28182.502719,22864.256146,21136.511348
n268,8,0.0039,1.000000,93093.27,17838.146373,20497.590225,25854.297159,28903.237337
n269,8,0.0039,1.000000,93027.48,20191.583703,23740.021908,23043.037440,26052.838592
n270,8,0.0039,1.000000,96312.02,18260.944824,27628.003445,23552.508873,26870.565702
n271,8,0.0039,1.000000,95871.27,13177.682082,28283.927397,26463.344840,27946.315845
n272,8,0.0039,1.000000,82868.69,19578.971679,19763.456420,21628.572883,21897.688277
n273,8,0.0039,1.000000,91934.51,18672.077700,17387.150585,27643.191686,28232.094653
n274,8,0.0039,1.000000,102508.81,17594.628953,16144.308017,34208.739468,34561.137258
n275,8,0.0039,1.000000,120012.75,13416.086223,12216.497038,41651.104048,52729.066342
n276,8,0.0039,1.000000,124981.81,35784.103793,21175.019897,29454.918292,38567.767678
n277,8,0.0039,1.000000,119617.06,27213.439272,34820.191264,27414.980552,30168.453795
n278,8,0.0039,1.000000,121138.84,48331.712988,17893.039560,23708.397959,31205.694236
n279,8,0.0039,1.000000,112009.70,13771.081618,27459.966170,30768.390406,40010.260458
n280,8,0.0039,1.000000,111387.68,13119.507094,15122.882654,49726.792037,33418.498705
n281,8,0.0039,1.000000,105556.54,23770.721044,31720.785920,25410.642336,24654.387916
n282,8,0.0039,1.000000,111780.77,10318.184071,18406.633191,40306.621695,42749.335508
n283,8,0.0039,1.000000,98460.72,28033.101488,24231.351930,21808.257050,24388.008430
n284,8,0.0039,1.000000,90099.22,21148.830155,22734.799312,22480.457095,23735.136759
n285,8,0.0039,1.000000,109355.38,13028.334662,23934.332134,27864.422792,44528.295407
n286,8,0.0039,1.000000,106607.20,20014.026650,28235.480781,28911.676042,29446.015933
n287,8,0.0039,1.000000,99249.13,25300.280127,26622.877171,20255.732114,27070.240046
n288,8,0.0039,1.000000,94642.04,24706.310320,26117.149738,21749.333217,22069.251421
n289,8,0.0039,1.000000,97662.29,11529.489848,20685.496073,29797.552944,35649.755966
n290,8,0.0039,1.000000,93997.40,23439.065497,23039.783988,25900.951795,21617.595258
n291,8,0.0039,1.000000,109130.63,24870.606246,31645.857349,23470.526820,29143.636946
n292,8,0.0039,1.000000,114491.65,24204.171850,25615.752288,28884.489593,35787.235538
n293,8,0.0039,1.000000,110760.17,19500.906908,19083.879054,40195.306364,31980.077581
n294,8,0.0039,1.000000,117534.14,49542.512941,18485.126517,18644.963121,30861.536125
n295,8,0.0039,1.000000,112680.80,29316.493138,16979.927470,34665.018166,31719.359827
n296,8,0.0039,1.000000,106306.67,15554.625965,24659.772216,36386.973703,29705.296863
n297,8,0.0039,1.000000,111954.65,28504.355610,36205.579971,22658.438673,24586.273090
n298,8,0.0039,1.000000,119899.56,30805.876674,19116.760327,42710.418349,27266.500040
n299,8,0.0039,1.000000,88201.58,16907.020408,22580.543287,26405.056573,22308.958537
n300,8,0.0039,1.000000,89923.70,24199.904014,22073.674415,20664.341088,22985.784287
n301,8,0.0039,1.000000,99243.86,15038.557230,31440.125624,23285.445973,29479.735105
n302,8,0.0039,1.000000,108482.85,14888.034585,27419.801183,23752.559148,42422.454902
n303,8,0.0039,1.000000,89515.52,14346.269282,21761.491821,28450.598046,24957.163211
n304,8,0.0039,1.000000,90932.34,25115.344895,19421.096713,20893.592215,25502.310352
n305,8,0.0039,1.000000,82052.79,15208.588609,23572.445654,19107.251382,24164.504710
n306,8,0.0039,1.000000,79094.98,16073.646598,18463.017264,22036.030637,22522.283565
n307,8,0.0039,1.000000,75562.44,16498.826289,16903.896351,20336.118023,21823.597775
n308,8,0.0039,1.000000,82138.26,16130.339505,19130.187965,23558.831155,23318.898789
n309,8,0.0039,1.000000,84359.25,20308.003410,21970.859074,19612.006557,22468.382502
n310,8,0.0039,1.000000,77738.29,17750.957225,20918.763798,17978.993222,21089.573767
n311,8,0.0039,1.000000,107668.82,13221.757388,23870.930713,29747.833622,40828.295230
n312,8,0.0039,1.000000,108980.58,22584.666732,17681.143087,35421.441698,33293.330862
n313,8,0.0039,1.000000,98666.62,16827.034479,17020.243849,28431.395477,36387.941778
n314,8,0.0039,1.000000,102844.58,34599.406519,17332.521794,25490.215344,25422.440488
