Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n160,7,0.0078,1.700000,197023.08,156324.405416,21129.937508,14318.696553,5250.036008
n161,7,0.0078,1.700000,197054.70,139560.969777,2699.912135,49733.201741,5060.619671
n162,7,0.0078,1.700000,200299.84,158829.175541,16894.642905,20498.029498,4077.989897
n163,7,0.0078,1.700000,230759.67,182435.560319,30037.959845,13685.849060,4600.298297
n164,7,0.0078,1.700000,200122.05,157822.011357,36653.137457,3952.628396,1694.274046
n165,7,0.0078,1.700000,167322.08,131351.897753,30866.842105,2653.200671,2450.138556
n166,7,0.0078,1.700000,191823.68,152783.066615,17555.175028,17264.115776,4221.325604
n167,7,0.0078,1.700000,167315.44,34618.689264,130521.203715,881.110903,1294.438922
n168,7,0.0078,1.700000,158250.71,125028.144743,4533.714965,25519.760712,3169.089582
n169,7,0.0078,1.700000,157970.03,124042.356636,1326.122144,31202.542106,1399.010132
n170,7,0.0078,1.700000,173749.20,120040.183924,1104.017326,45593.783820,7011.218346
n171,7,0.0078,1.700000,162381.76,498.559342,44259.863992,115498.876215,2124.462636
n172,7,0.0078,1.700000,146458.12,378.172370,78648.431611,65727.750253,1703.763609
n173,7,0.0078,1.700000,151763.55,121015.246476,14334.342670,13692.819060,2721.142783
n174,7,0.0078,1.700000,148570.68,27602.535087,116866.588730,2764.679897,1336.872671
n175,7,0.0078,1.700000,219774.49,91583.864456,1433.812352,119581.172204,7175.639256
n176,7,0.0078,1.700000,189496.72,150631.768156,6207.700255,26494.734008,6162.516755
n177,7,0.0078,1.700000,154706.60,116482.463413,27863.469935,7777.623303,2583.045547
n178,7,0.0078,1.700000,157932.08,121044.952358,1065.597786,34176.775046,1644.759628
n179,7,0.0078,1.700000,150536.90,61444.181840,86612.231332,1701.723796,778.764898
n180,7,0.0078,1.700000,151499.03,3229.213735,35203.739075,41367.406833,71698.675200
n181,7,0.0078,1.700000,219160.27,35055.760764,173732.536531,6099.108361,4272.859643
n182,7,0.0078,1.700000,208090.68,2947.152142,164792.595944,18065.134183,22285.793191
n183,7,0.0078,1.700000,232453.84,173159.675858,49576.688000,6942.695279,2774.781844
