Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n255,8,0.0039,2.400000,124059.57,25534.773773,32978.171861,28285.109359,37261.515360
n256,8,0.0039,2.400000,123913.73,21524.994201,34928.750385,39420.972146,28039.012551
n257,8,0.0039,2.400000,118924.34,20541.152824,23647.978212,41804.976948,32930.236738
n258,8,0.0039,2.400000,107724.13,20409.924394,23295.259397,30502.799521,33516.151381
n259,8,0.0039,2.400000,128781.87,25360.976903,23776.631026,41921.074352,37723.184698
n260,8,0.0039,2.400000,136525.38,18362.466322,17885.534211,47457.424824,52819.956439
n261,8,0.0039,2.400000,136973.10,22383.766181,20205.699960,38601.666575,55781.964858
n262,8,0.0039,2.400000,136049.66,16988.856310,21430.485725,33488.676881,64141.645925
n263,8,0.0039,2.400000,123738.69,37606.763063,24102.542395,27799.582881,34229.800815
n264,8,0.0039,2.400000,125265.03,26863.529312,21862.814800,34676.435203,41862.251218
n265,8,0.0039,2.400000,128206.82,24791.618665,21151.897429,34923.533295,47339.768024
n266,8,0.0039,2.400000,123979.82,32131.420763,23481.550385,34516.444696,33850.406494
n267,8,0.0039,2.400000,127339.51,34131.908258,40186.353040,27931.399851,25089.845095
n268,8,0.0039,2.400000,120862.70,22102.833679,23999.998328,33971.109399,40788.761923
n269,8,0.0039,2.400000,122510.41,24515.600915,31733.301798,29699.739627,36561.769127
n270,8,0.0039,2.400000,126819.61,22697.717796,38818.851334,29604.787099,35698.255471
n271,8,0.0039,2.400000,120667.41,18880.051807,35875.831638,31736.363095,34175.164267
n272,8,0.0039,2.400000,103184.91,23305.473646,23873.558924,28915.257957,27090.622800
n273,8,0.0039,2.400000,116575.11,22890.123477,22188.389824,36880.194331,34616.406971
n274,8,0.0039,2.400000,128821.61,21750.917915,20946.938955,44380.159194,41743.592329
n275,8,0.0039,2.400000,154847.11,19073.206412,17903.988745,49925.673314,67944.241679
n276,8,0.0039,2.400000,161047.07,45772.892413,25664.886564,36772.653502,52836.641278
n277,8,0.0039,2.400000,153635.89,33469.054081,46418.471646,33601.947137,40146.417930
n278,8,0.0039,2.400000,155788.55,68648.599340,22442.090096,25992.961399,38704.895277
n279,8,0.0039,2.400000,146793.29,19100.803104,33747.545337,39371.162230,54573.776338
n280,8,0.0039,2.400000,146379.44,17493.406857,19334.036016,70325.562129,39226.436933
n281,8,0.0039,2.400000,138138.49,32068.096651,45202.969273,31176.380652,29691.040976
n282,8,0.0039,2.400000,146222.85,14964.942134,22914.795532,50684.060743,57659.052382
n283,8,0.0039,2.400000,129116.47,39358.034870,32862.367512,25821.711863,31074.356712
n284,8,0.0039,2.400000,115205.89,23562.248261,35908.340442,24155.310430,31579.995285
n285,8,0.0039,2.400000,143904.90,17782.499734,25953.481810,34565.734204,65603.185865
n286,8,0.0039,2.400000,139796.25,24184.938540,36418.243863,40988.731005,38204.334863
n287,8,0.0039,2.400000,155435.24,39165.125349,42025.581449,25943.608068,48300.924732
n288,8,0.0039,2.400000,143020.38,40450.690026,48309.485632,27535.262590,26724.946211
n289,8,0.0039,2.400000,150366.45,12904.764725,25465.143574,47007.146829,64989.391862
n290,8,0.0039,2.400000,145918.06,36519.492006,35130.002142,46223.117623,28045.451814
n291,8,0.0039,2.400000,179357.65,37159.791369,60942.903514,30972.093526,50282.865220
n292,8,0.0039,2.400000,186031.62,32727.061595,37215.238417,48133.685646,67955.631228
n293,8,0.0039,2.400000,179574.60,23760.773033,22570.450317,80470.767949,52772.610308
n294,8,0.0039,2.400000,189147.84,103489.555763,21713.869814,21485.638817,42458.775681
n295,8,0.0039,2.400000,189169.98,48676.209968,22277.495152,65627.853933,52588.425765
n296,8,0.0039,2.400000,177819.19,18389.385156,34316.925296,74590.147307,50522.735708
n297,8,0.0039,2.400000,186896.83,47261.767716,80147.289608,27129.365746,32358.409145
n298,8,0.0039,2.400000,199547.52,48835.028460,23662.005186,90613.817323,36436.667766
n299,8,0.0039,2.400000,136006.61,18411.087428,35961.948905,48518.561608,33115.016009
n300,8,0.0039,2.400000,137140.39,42463.633979,33549.820083,26317.522386,34809.408829
n301,8,0.0039,2.400000,154971.31,17793.704966,62133.860816,28872.087008,46171.660675
n302,8,0.0039,2.400000,169304.39,18393.986111,42130.323058,28360.281113,80419.795377
n303,8,0.0039,2.400000,135894.24,15870.838245,29221.592005,51320.399152,39481.406580
n304,8,0.0039,2.400000,137633.47,45678.566178,23505.667319,27054.177038,41395.061703
n305,8,0.0039,2.400000,122438.10,16688.921840,42460.040090,24852.191792,38436.949982
n306,8,0.0039,2.400000,120461.56,21040.470456,23257.337463,37546.609418,38617.137800
n307,8,0.0039,2.400000,116138.85,20879.819715,22145.882190,32949.968765,40163.178689
n308,8,0.0039,2.400000,130838.90,21523.150090,22951.692876,46106.452522,40257.607178
n309,8,0.0039,2.400000,127354.61,27493.367182,46141.807812,23330.366526,30389.068532
n310,8,0.0039,2.400000,116297.15,19868.266243,44189.016942,21314.962676,30924.906430
n311,8,0.0039,2.400000,174086.17,15038.762434,29660.670544,46333.382978,83053.352866
n312,8,0.0039,2.400000,175324.26,27928.098598,21552.193887,68278.100642,57565.863403
n313,8,0.0039,2.400000,162177.48,20464.471622,20798.310339,45968.324104,74946.372074
n314,8,0.0039,2.400000,167794.02,72954.384397,20260.719391,38039.221080,36539.692917
